Green-B,0,4,Hynes,place-hymnl,600,150,00843d
Green-B,0,5,Kenmore,place-kencl,575,125,00843d
Green-B,0,6,Blandford,place-bland,550,100,00843d
Green-B,0,7,BU East,place-buest,525,75,00843d
Green-B,0,8,BU Central,place-bucen,500,50,00843d
Green-B,0,9,BU West,place-buwst,475,25,00843d
Green-B,0,10,St Paul,place-stplb,425,50,00843d
Green-B,0,11,Pleasant,place-plsgr,375,75,00843d
Green-B,0,12,Babcock,place-babck,325,100,00843d
Green-B,0,13,Packards Corner,place-brico,275,125,00843d
Green-B,0,14,Harvard,place-harvd,250,150,00843d
Green-B,0,15,Griggs,place-grigg,225,175,00843d
Green-B,0,16,Allston,place-alsgr,200,200,00843d
Green-B,0,17,Warren,place-wrnst,175,225,00843d
Green-B,0,18,Washington,place-wascm,150,250,00843d
Green-B,0,19,Sutherland,place-sthld,125,275,00843d
Green-B,0,20,Chiswick,place-chswk,100,300,00843d
Green-B,0,21,Chestnut Hill,place-chill,75,325,00843d
Green-B,0,22,South,place-sougr,50,350,00843d
Green-B,0,23,Boston College,place-lake,25,375,00843d
